Comment,Description,Designator,Footprint,LibRef,Quantity,Value,Voltage,Supplier 1,Supplier Part Number 1

"47u","Capacitor","C1, C3","CAPC3216X18N","C","2","47u","6.3V","Digi-Key","311-1993-1-ND"
"1u","Capacitor","C2, C4","CAPC1608X95N","C","2","1u","10V","Digi-Key","1276-1863-1-ND"
"100n","Capacitor","C5","CAPC1608X95N","C","1","100n","10V","Digi-Key","1276-1863-1-ND"
"ARM_MINI","ARM Mini JTAG / SWD 10-pin connector","DBG1","R127_M50-3500542","ARM_MINI","1","","","Digi-Key","952-1383-ND"
"18Way2R","18 Way 2 Row Connector","J1","THT_2x9_R254","18Way2R","1","","","Digi-Key","952-1825-ND"
"USB-MICRO-PLUG","USB Micro Plug","J2","475890001","USB-MICRO-PLUG","1","","","Digi-Key","WM17143CT-ND"
"10Way2R","10 Way 2 Row Connector","J3","R127_M50-3500542","10Way2R","1","","","Digi-Key","ED90491-ND"
"2Way","2 Way Connector","J4","2PINR254","2Way","1","","","Digi-Key","ED8201-02-ND"
"2Way","2 Way Connector","J5","2PINR254","2Way","1","","","Digi-Key","952-2262-ND"
"18Way2R","18 Way 2 Row Connector","J6","R127_M50-3500942","18Way2R","1","","","Digi-Key","ED90491-ND"
"GREEN","LED","LED1","LED0603","LED","1","","","Digi-Key","160-1475-1-ND"
"1k","Resistor","R1","RESC1608X55N","R","1","1k","","Digi-Key","1276-5062-1-ND"
"0R","Resistor","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13","RESC1608X55N","R","12","0R","","Digi-Key","311-0.0GRCT-ND"
"MCP1824S","300 mA, Low Voltage, Low Quiescent Current LDO Regulator","U1","SOT223P700X180-4N","MCP1824S","1","","","Digi-Key","MCP1824ST-3302E/DBCT-ND"
